number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
0,0.7270946521382734,2026-04-16 13:55:10.667865,2026-04-16 13:55:11.235680,0 days 00:00:00.567815,0.8202230023486418,3.4680559213273097,depthwise,0.030710573677773714,8,3.3946339367881464,1925,0.003486678167045121,0.001592075878523403,0.8732352291549871,hist,COMPLETE
1,0.7021644099501744,2026-04-16 13:55:11.235836,2026-04-16 13:55:11.285631,0 days 00:00:00.049795,0.8049512863264475,3.6370173320348282,depthwise,0.08341106432362087,10,4.329770563201687,75,0.004287730278993503,0.004342298948286134,0.7608484485919075,hist,COMPLETE
2,0.7196697040310583,2026-04-16 13:55:11.285743,2026-04-16 13:55:11.506961,0 days 00:00:00.221218,0.739934756431672,3.8764339456056547,depthwise,0.03647316284911211,7,1.5579754426081673,625,0.018788173075973934,0.038531031522629815,0.8570351922786027,hist,COMPLETE
3,0.7215311480804149,2026-04-16 13:55:11.507079,2026-04-16 13:55:11.863919,0 days 00:00:00.356840,0.8616794696232922,3.5115723710618747,depthwise,0.04666963767236924,1,3.4301794076057535,1200,0.0016834192018216926,1.9924621034349888,0.8931264066149118,hist,COMPLETE
4,0.724598845521849,2026-04-16 13:55:11.864060,2026-04-16 13:55:11.978072,0 days 00:00:00.114012,0.7517559963200033,3.3661147045343363,depthwise,0.0249064396938244,7,2.760609974958405,225,0.05269751777340593,0.0013169614353741135,0.8818640804157565,hist,COMPLETE
5,0.6456331509156328,2026-04-16 13:55:11.978220,2026-04-16 13:55:12.190436,0 days 00:00:00.212216,0.8789654700855298,3.554563366576581,depthwise,0.07277150634170934,6,3.1868411173731186,650,2.351599274057191,0.4957135786745317,0.8878997883128379,hist,COMPLETE
6,0.7727206150167267,2026-04-16 13:55:12.190574,2026-04-16 13:55:12.733374,0 days 00:00:00.542800,0.8657475018303858,3.1356818667316144,depthwise,0.059963338824126605,1,1.7839314496765808,1850,0.013527358752820948,0.022463533171675796,0.7542698063547791,hist,COMPLETE
7,0.6736908043772116,2026-04-16 13:55:12.733512,2026-04-16 13:55:12.939004,0 days 00:00:00.205492,0.7397431363068344,5.406590942262119,depthwise,0.02911701023242742,6,1.5636968998990506,600,0.0018164423870304742,2.701005964742302,0.8544489538593315,hist,COMPLETE
8,0.7144922147244182,2026-04-16 13:55:12.939118,2026-04-16 13:55:13.448605,0 days 00:00:00.509487,0.8726206851751187,5.313811040057837,depthwise,0.010166803740022877,8,3.9160286721639492,1650,0.001809098578331446,0.017637166053890756,0.7231738119050259,hist,COMPLETE
9,0.7371622934972524,2026-04-16 13:55:13.448758,2026-04-16 13:55:13.674274,0 days 00:00:00.225516,0.7944429850323899,3.975549966080241,depthwise,0.06470376604234768,1,2.243929286862649,700,0.34429375895065534,0.16476487558474692,0.8774425485152653,hist,COMPLETE
10,0.7104196687312754,2026-04-16 13:55:13.674413,2026-04-16 13:55:14.106225,0 days 00:00:00.431812,0.705083825348819,5.312901539863683,depthwise,0.014308552498147852,8,3.245108790277985,1450,0.052117930643778204,0.06570606085616121,0.7855082036717099,hist,COMPLETE
11,0.6614224913341221,2026-04-16 13:55:14.106362,2026-04-16 13:55:14.176613,0 days 00:00:00.070251,0.8511102277086098,4.525712073494108,depthwise,0.013815607382950859,7,2.2574239243053067,100,1.4312604696692754,0.007359008568679792,0.7820765846071259,hist,COMPLETE
12,0.6650053532814759,2026-04-16 13:55:14.176724,2026-04-16 13:55:14.276570,0 days 00:00:00.099846,0.8607344153798229,5.789092957027719,depthwise,0.01984601321734508,3,1.6448851490160177,200,0.6455539579314901,0.1593755382804405,0.8742921180375436,hist,COMPLETE
